 9.414001	 -9.380483	 8.212111	21_31_40_884000
 6.579266	 -7.527370	 6.694188	21_31_40_910000
 4.965574	 -5.453991	 4.256891	21_31_40_924000
 4.592079	 -5.497087	 3.859453	21_31_40_949000
 4.185065	 -6.023811	 5.468357	21_31_40_964000
 3.399766	 -6.138733	 7.283162	21_31_40_989000
 2.906561	 -6.440403	 8.173804	21_31_41_003000
 2.987964	 -7.110779	 8.169016	21_31_41_029000
 3.442862	 -7.359776	 7.067683	21_31_41_051000
 5.875371	 -5.707777	 5.774815	21_31_41_067000
 9.054871	 -6.406884	 6.933608	21_31_41_083000
 8.508993	 -8.264784	 7.848193	21_31_41_102000
 5.884948	 -6.574478	 5.511452	21_31_41_123000
 4.807557	 -5.367800	 3.332729	21_31_41_147000
 4.711789	 -5.937620	 3.835511	21_31_41_165000
 4.161122	 -6.473921	 6.138733	21_31_41_190000
 3.414132	 -6.737284	 7.958326	21_31_41_204000
 3.031059	 -7.067683	 8.149862	21_31_41_230000
 2.887407	 -7.139510	 7.551312	21_31_41_244000
 3.912126	 -4.888960	 5.564125	21_31_41_270000
 7.407660	 -4.716578	 6.023811	21_31_41_284000
 8.992621	 -7.541735	 8.140285	21_31_41_309000
 6.770802	 -7.364564	 6.679823	21_31_41_324000
 5.008670	 -5.640739	 4.132392	21_31_41_350000
 4.845864	 -5.765238	 3.481169	21_31_41_364000
 4.836287	 -6.770802	 4.965574	21_31_41_390000
 3.964798	 -6.818686	 6.991069	21_31_41_404000
 3.126827	 -7.038953	 8.303091	21_31_41_430000
 3.031059	 -7.881712	 8.427590	21_31_41_444000
 3.260903	 -8.159439	 7.508216	21_31_41_469000
 4.917690	 -5.568913	 5.568913	21_31_41_493000
 8.049306	 -5.363012	 5.918467	21_31_41_509000
 8.336611	 -7.752425	 7.010222	21_31_41_524000
 6.052542	 -6.789956	 4.984728	21_31_41_542000
 5.037400	 -5.430049	 3.093309	21_31_41_564000
 5.099649	 -5.875371	 3.533842	21_31_41_589000
 4.769250	 -6.732495	 5.248090	21_31_41_603000
 3.854665	 -7.005434	 6.962338	21_31_41_629000
 3.189077	 -7.345411	 8.121132	21_31_41_643000
 3.035848	 -7.953538	 8.384495	21_31_41_669000
 2.916138	 -8.173804	 7.690176	21_31_41_683000
 4.793192	 -5.841852	 6.253655	21_31_41_709000
 8.604761	 -5.904101	 7.508216	21_31_41_724000
 8.585608	 -8.279149	 8.734048	21_31_41_749000
 5.492299	 -6.617573	 5.564125	21_31_41_763000
 4.462792	 -4.644751	 2.590526	21_31_41_791000
 5.200206	 -5.425261	 3.007117	21_31_41_805000
 5.482722	 -7.038953	 5.305551	21_31_41_829000
 4.735731	 -7.656657	 6.991069	21_31_41_843000
 4.261679	 -7.580042	 7.268796	21_31_41_869000
 3.471592	 -6.871359	 6.454768	21_31_41_883000
 3.409343	 -6.670246	 6.009446	21_31_41_912000
 3.447650	 -6.411672	 5.343858	21_31_41_939000
 3.533842	 -6.359000	 5.046977	21_31_41_950000
 3.256114	 -6.315904	 5.324705	21_31_41_965000
 2.753332	 -6.536170	 6.272809	21_31_41_983000
 2.590526	 -8.303091	 7.881712	21_31_42_004000
 3.126827	 -10.424355	 9.083601	21_31_42_029000
 6.449979	 -6.670246	 8.020576	21_31_42_043000
 11.171345	 -5.013458	 8.714894	21_31_42_073000
 9.533711	 -7.445967	 9.045294	21_31_42_086000
 4.592079	 -5.837064	 4.553771	21_31_42_108000
 4.319140	 -4.745308	 1.422156	21_31_42_126000
 5.837064	 -5.813122	 3.002329	21_31_42_150000
 5.698200	 -7.048530	 6.248867	21_31_42_164000
 4.563348	 -7.302315	 7.785944	21_31_42_191000
 3.505111	 -6.866570	 7.331046	21_31_42_206000
 2.959233	 -6.392519	 6.248867	21_31_42_231000
 2.782062	 -6.057330	 5.760449	21_31_42_245000
 2.753332	 -5.712565	 5.784391	21_31_42_271000
 2.662352	 -5.396531	 5.784391	21_31_42_285000
 2.331953	 -5.190629	 6.133945	21_31_42_311000
 2.164358	 -5.841852	 7.024588	21_31_42_325000
 2.207454	 -7.795521	 8.556877	21_31_42_353000
 2.006341	 -7.694964	 8.748413	21_31_42_378000
 6.727707	 -3.011906	 9.217676	21_31_42_397000
 12.909535	 -4.505888	 12.885593	21_31_42_410000
 11.166556	 -9.753978	 12.267890	21_31_42_425000
 5.698200	 -6.325481	 5.046977	21_31_42_444000
 3.332729	 -1.465251	 0.124498	21_31_42_466000
 4.596867	 -2.461239	 1.508347	21_31_42_489000
 5.822699	 -5.635951	 5.434838	21_31_42_504000
 4.922479	 -6.593631	 7.742848	21_31_42_534000
 3.246537	 -5.942409	 7.876924	21_31_42_547000
 2.389413	 -5.267244	 7.115568	21_31_42_567000
 2.365471	 -5.003881	 6.392519	21_31_42_588000
 2.647987	 -5.142745	 5.827487	21_31_42_606000
 2.896984	 -5.281609	 5.420473	21_31_42_632000
 3.040636	 -5.185841	 5.248090	21_31_42_646000
 3.318364	 -5.501875	 5.157111	21_31_42_672000
 3.926491	 -6.493075	 5.157111	21_31_42_686000
 4.707001	 -7.273585	 5.358223	21_31_42_711000
 5.430049	 -7.819463	 5.535394	21_31_42_726000
