x,y,z,time
6.780379,-6.512228,4.711789,00:44:09.335000
6.703765,-6.593631,4.582502,00:44:09.357000
6.746861,-6.675035,4.477157,00:44:09.375000
6.833052,-6.722919,4.448427,00:44:09.397000
6.880936,-6.617573,4.477157,00:44:09.415000
6.904878,-6.363788,4.462792,00:44:09.439000
6.947973,-6.177041,4.376601,00:44:09.453000
6.986280,-6.157887,4.328717,00:44:09.484000
7.024588,-6.263232,4.419696,00:44:09.498000
7.062895,-6.392519,4.601655,00:44:09.516000
7.053318,-6.430826,4.735731,00:44:09.546000
6.981492,-6.354211,4.769250,00:44:09.558000
6.947973,-6.234501,4.745308,00:44:09.572000
6.981492,-6.181829,4.649539,00:44:09.593000
7.038953,-6.239290,4.544195,00:44:09.616000
7.043741,-6.315904,4.520253,00:44:09.635000
6.995857,-6.368577,4.558560,00:44:09.657000
6.947973,-6.406884,4.577713,00:44:09.674000
6.919243,-6.406884,4.558560,00:44:09.698000
6.909666,-6.349423,4.558560,00:44:09.714000
6.900089,-6.282385,4.616021,00:44:09.740000
6.876147,-6.268020,4.707001,00:44:09.754000
6.866570,-6.349423,4.735731,00:44:09.781000
6.900089,-6.430826,4.673482,00:44:09.795000
6.943185,-6.411672,4.582502,00:44:09.821000
6.947973,-6.311116,4.520253,00:44:09.835000
6.952762,-6.229713,4.477157,00:44:09.861000
6.991069,-6.253655,4.486734,00:44:09.876000
7.010222,-6.296751,4.534618,00:44:09.901000
7.015011,-6.263232,4.577713,00:44:09.915000
7.015011,-6.220136,4.611232,00:44:09.941000
6.995857,-6.263232,4.620809,00:44:09.955000
6.981492,-6.359000,4.587290,00:44:09.982000
6.967127,-6.411672,4.539406,00:44:09.997000
6.952762,-6.349423,4.539406,00:44:10.013000
6.952762,-6.258443,4.568137,00:44:10.034000
6.967127,-6.253655,4.582502,00:44:10.060000
6.986280,-6.306327,4.568137,00:44:10.075000
6.986280,-6.349423,4.553771,00:44:10.100000
6.976704,-6.373365,4.558560,00:44:10.115000
6.967127,-6.335058,4.587290,00:44:10.141000
6.957550,-6.253655,4.606444,00:44:10.156000
6.967127,-6.229713,4.601655,00:44:10.177000
7.005434,-6.301539,4.596867,00:44:10.199000
7.019799,-6.368577,4.625597,00:44:10.214000
6.986280,-6.354211,4.673482,00:44:10.244000
6.933608,-6.306327,4.678270,00:44:10.257000
6.933608,-6.291962,4.616021,00:44:10.279000
6.962338,-6.344635,4.568137,00:44:10.293000
6.971915,-6.392519,4.611232,00:44:10.327000
6.947973,-6.368577,4.683059,00:44:10.339000
6.943185,-6.287174,4.687847,00:44:10.354000
6.957550,-6.215348,4.644751,00:44:10.390000
6.971915,-6.205771,4.630386,00:44:10.411000
6.981492,-6.239290,4.654328,00:44:10.424000
6.986280,-6.306327,4.644751,00:44:10.438000
6.986280,-6.335058,4.620809,00:44:10.454000
6.995857,-6.277597,4.630386,00:44:10.481000
7.010222,-6.196194,4.625597,00:44:10.495000
7.024588,-6.138733,4.558560,00:44:10.524000
7.058106,-6.100426,4.496311,00:44:10.537000
7.086837,-6.095637,4.539406,00:44:10.559000
7.072472,-6.153099,4.654328,00:44:10.574000
7.034164,-6.234501,4.740520,00:44:10.608000
7.010222,-6.253655,4.730943,00:44:10.619000
6.971915,-6.196194,4.649539,00:44:10.635000
6.952762,-6.138733,4.568137,00:44:10.659000
7.005434,-6.129156,4.548983,00:44:10.677000
7.038953,-6.143522,4.558560,00:44:10.699000
7.077260,-6.239290,4.654328,00:44:10.717000
7.077260,-6.277597,4.673482,00:44:10.739000
7.029376,-6.320693,4.625597,00:44:10.757000
7.005434,-6.291962,4.592079,00:44:10.788000
7.005434,-6.196194,4.544195,00:44:10.800000
7.019799,-6.181829,4.553771,00:44:10.815000
7.029376,-6.143522,4.620809,00:44:10.835000
7.024588,-6.110003,4.687847,00:44:10.859000
7.024588,-6.153099,4.692636,00:44:10.877000
7.019799,-6.224925,4.630386,00:44:10.899000
7.000646,-6.244078,4.577713,00:44:10.917000
6.976704,-6.196194,4.568137,00:44:10.939000
6.967127,-6.143522,4.558560,00:44:10.957000
6.981492,-6.119579,4.534618,00:44:10.979000
6.991069,-6.138733,4.582502,00:44:10.997000
6.991069,-6.215348,4.702212,00:44:11.019000
7.034164,-6.296751,4.730943,00:44:11.037000
7.086837,-6.301539,4.606444,00:44:11.059000
7.101202,-6.253655,4.414908,00:44:11.078000
7.024588,-6.287174,4.319140,00:44:11.097000
6.900089,-6.473921,4.424485,00:44:11.135000
6.837840,-6.713342,4.639963,00:44:11.153000
6.842628,-6.809110,4.754885,00:44:11.167000
6.861782,-6.670246,4.702212,00:44:11.188000
6.890512,-6.435614,4.577713,00:44:11.200000
6.952762,-6.282385,4.453215,00:44:11.215000
7.024588,-6.263232,4.390966,00:44:11.235000
7.029376,-6.315904,4.395754,00:44:11.255000
6.991069,-6.392519,4.419696,00:44:11.279000
6.967127,-6.459556,4.467580,00:44:11.294000
6.933608,-6.445191,4.544195,00:44:11.329000
